indice_origen,id_cancion,particion
63,6owKuyHxUqidcAA6fPKSyy,entrenamiento
64,0wbmIfvndFV9VDvuUY1pYN,entrenamiento
65,3e5yu9MkIvQx17mm7LF6KY,prueba
66,6VwAh8Z1d5YKoSWoEaV4db,entrenamiento
67,2D4BSm5Z8Hq5zYbSgJwEOh,prueba
68,7LwGBxB0h0CVmkOZxYKn0g,prueba
69,0ZwdH0m32I8odedwvspYTh,entrenamiento
70,16dkWKIlBsfYTISCVuDs0w,prueba
71,3TwtrR1yNLY1PMPsrGQpOp,prueba
72,3Et4LKZLnXygPYfNdeB3D3,entrenamiento
73,2E9viCx0hJKNKNThd2MdGQ,entrenamiento
74,0Zf1BPkkFAWGtVHeBwHHz4,prueba
75,38jy6kRlPt8z1GUS9WXeNh,prueba
76,2SkJKMfjpYsNv0KWOxiegX,entrenamiento
77,4qCbMMMuEB56kHd4zPE6GD,prueba
78,11TK5KLtLZUdKr1C549bAw,entrenamiento
79,7BXW1QCg56yzEBV8pW8pah,entrenamiento
80,2kMrCPZ0o5gErBPLCRgoli,entrenamiento
81,5IjTZ1g8KrIuV97N3OQZ0V,entrenamiento
82,3bHhUEOTIbezeZ856R0BX5,entrenamiento
83,0wf17wsLRwnnfh241GkeH5,prueba
84,3322ArxAq7wCSZI4fF77Q0,entrenamiento
85,4LGF2tDg3878bs0mQPByZ4,prueba
86,6Uy6K3KdmUdAfelUp0SeXn,entrenamiento
87,2z2JKNU24UEngb4joR9p8f,entrenamiento
88,2nef44o0sjJDKB1ta4S0ub,entrenamiento
89,0qJGlogD7AyMLAJfQ42aI2,prueba
90,04JS6OitE9VGsIS3S94Osg,entrenamiento
91,5OGpsZeJRZ3t3MZioawcZW,prueba
92,3Vnes7v746dYzBn0FJTZ1W,entrenamiento
93,30cYWLpVdBZVLb1cYdmcTT,entrenamiento
94,7sUqJ51FGSi3n7x4pYjY3v,entrenamiento
95,15BFn2VmEtonsXfNL1lUmy,entrenamiento
96,0WOFJR54wyTwLB11jcBDb1,prueba
97,1uDCw6LVMOmbZ6zRliNcNX,entrenamiento
98,7DYsBLdOqz0z14tYWMt2Tn,entrenamiento
99,7cPuE0M35EajWPRO3nRcH8,entrenamiento
100,0U32q8CZRRo7xCzyiaZw5f,entrenamiento
101,4kQXMVjoZ9yMibLZq5Aqi5,entrenamiento
102,3us8sod4dLbM9FiMiPiEY8,entrenamiento
103,1PR5pyPiOEEQ02oJYq402x,entrenamiento
104,068qo0w1Ki0cjnFYOUhAm2,entrenamiento
105,2RFt6ZWQbr9mPhsft9u9eX,entrenamiento
106,59pUIlXjQupbiYwt40uUTi,entrenamiento
107,0VhZ5JYfqPojSYeGWnk4dL,entrenamiento
108,0ltIx8PLjtWoS9zn9PqsZW,entrenamiento
109,7ACW42whcdOiUxiNVu7ltx,entrenamiento
110,4qTHoIp62ngNDpUJwW3hZ7,entrenamiento
111,4VbDTk82rqWqVgoQC93CkC,entrenamiento
112,1pG5nd6gmfbMwUfT5shDQe,entrenamiento
113,2WZyfujzMweFLnozyUJBkW,entrenamiento
114,6gijbGNDNNJgT60Aj7UCyc,entrenamiento
115,5pq4v03P5PxMcnCagg4S3Z,prueba
116,08OjvLnGR3M0HUhcePeMNO,prueba
117,65VhbQdqvozUntjnlFkFbZ,entrenamiento
118,05pKAafT85jeeNhZ6kq7HT,entrenamiento
119,3PG6V5yuFfo4APiovOQoRv,entrenamiento
120,5O9R57EozcpLKGQBzadPVy,prueba
121,6ta5yavnnEfCE4faU0jebM,prueba
122,7BRCa8MPiyuvr2VU3O9W0F,prueba
123,5ZhaKUsY68U0lgREFWfoxg,prueba
124,4zcMBfbQZvBSHQBGDd6gsN,entrenamiento
125,7bhHLZxkRekrNPPkEdDTbn,entrenamiento
126,5rwq6R0Uq0BngM3rdmCeNg,entrenamiento
127,2lxBZVbkiCXC1soks2RXwV,entrenamiento
128,38YgZVHPWOWsKrsCXz6JyP,entrenamiento
129,6XrNrp7UtGgyZcHJ0ckL0w,entrenamiento
130,72R0X0h8YaxYNpegeoOl0M,entrenamiento
131,6R6ux6KaKrhAg2EIB2krdU,entrenamiento
132,2D9w6sabdMCLSheW5aegwO,entrenamiento
133,1Qo3taHLFSQpzLm5Sty7M4,prueba
134,71M4QMn8nrok1KFVXwEEyU,entrenamiento
135,4lxGVzcUaSF5HW5jtWnShV,prueba
136,2PIlBukQ6limukVR8Ubb5o,entrenamiento
137,5p9XWUdvbUzmPCukOmwoU3,entrenamiento
138,1uSuY2qLCbx1QB7oPUVhFG,entrenamiento
139,6twvFrIoIINH8UW8EB8OnU,entrenamiento
140,2pelUnMKr07JjJpilj9Yew,entrenamiento
141,7d0bJhpp0mCYyMXaMgWyMS,entrenamiento
142,73CbJykoV6WapWGfTeRzTl,entrenamiento
143,3ixLIO5BsTmic0Pp27FaPY,entrenamiento
144,5ZetMq21bMQN5oo4TtdOxu,entrenamiento
145,73oHkllHIT8fdbzpxiXW40,entrenamiento
146,4MihgVRpD82EZoT61GW63w,entrenamiento
147,1BECZPXBXzobsfmlzj0g3I,entrenamiento
148,14vExHBkh1prEAN94wZug8,prueba
149,0fzCtVM9D5UEwiLqcY8Ouq,entrenamiento
150,6IF2P93LkyW4GqDQu1yS7H,entrenamiento
151,34dnNAUoIPcwnK0RtVMBWZ,entrenamiento
152,5aDpULK8MbJmHl42kR5KNI,prueba
153,1fI1TMpz7FVkpoYBhmiywp,entrenamiento
154,23Mcmg5O8rBKAOzxvrTjnD,entrenamiento
155,0gVbkmFqq5fIkXtJJ3UTfM,entrenamiento
156,00DuOxungwHwVUX2m37P0P,entrenamiento
157,2lFlveK1y13WWp3vnQtrr3,entrenamiento
158,2WD93lsfJonaKtrQtpLB2R,entrenamiento
159,7njTGO45SkaBTNu35t2Yq0,prueba
160,6ivkBaxvclVhwZDE2uwldj,entrenamiento
161,6Cvti10W0AzmzG9D1tpuKp,entrenamiento
162,03yc0G2OoH1Eeyu7Piy8fK,entrenamiento
163,5RO0MNa5hBKIM4OcjygadU,entrenamiento
164,78TKtlSLWK8pZAKKW3MyQL,entrenamiento
165,1esE8j1nVyzEQ5rVhYXoJT,entrenamiento
166,68Yc9ylRZZPtsuVgtrxcDj,entrenamiento
167,3tjjCCdXSdaVEo4q4y071G,entrenamiento
168,3tob5ofeuvFKKSbOTldenC,entrenamiento
169,4E6cwWJWZw2zWf7VFbH7wf,prueba
170,3uAdZpIbMTtVXitHVibLMV,entrenamiento
171,2LC523tbEPFpc1pnikbt5b,entrenamiento
172,3ISLwA96mtx13Wx7K1PPPk,entrenamiento
173,7Ca2CkwSqHyr3eCh8IRdjz,prueba
174,6ql0ffq6Jvyh9OKqrJCMaP,prueba
175,1EyvonxK8OGHRV4WDRdArc,entrenamiento
176,0EKBV6GybPtALXUgWqWrym,entrenamiento
177,41A82PidFKhGX5hm1WoaDs,entrenamiento
178,5oV8bZaShr2d01FFMHBUPq,prueba
179,5nMRpGfqQ0tb1TMbqBVK2J,entrenamiento
180,04qDUASuSfVp6fktfsxVej,entrenamiento
181,3g61xRaqII8q1wlQDzv550,entrenamiento
182,3dglCYsVMjPbDlU2CC9Vq7,entrenamiento
183,2f4jlGvGi3ZDGogXys5FUp,entrenamiento
184,3NCg46FWgnANZc9HQHQOQR,entrenamiento
185,0muntSMuAZzcwYBBMZj6sf,entrenamiento
186,4bXoVtbp6fN8FaSQvGQB41,entrenamiento
187,3FRARAKLpHw3er9ZaTwaHO,entrenamiento
188,2Dzhwe90lhHXVU6lk7Nx0H,entrenamiento
189,12niARgkwxGsklcEwh6GlG,entrenamiento
190,0v0pc1lIt5p6EBX7pnfOGF,entrenamiento
191,5wQci5VCUjdbKnRD61XYwu,entrenamiento
192,0HQnJee8ShSDu2AYwibxst,entrenamiento
193,4VoJCUgNmnqG2qF0peDBkw,entrenamiento
194,7xLhousIHDxoGgeJNhO4Ye,entrenamiento
195,1bhpBRCLsVg3p7BWARbaDS,entrenamiento
196,6NSlOEEtWlqvEFrjQsry77,entrenamiento
197,1HqVCK9h4LiJ61aRrrKTAt,entrenamiento
198,0wP19iM8ULJyV0r0LFDsDv,entrenamiento
199,27Fq4XyOkogdGLcfsVdjFb,prueba
200,45jGOHwYKgsRYbAJ8DR61d,entrenamiento
201,4iObEYRE4FLm0D90gmZFef,entrenamiento
202,3akr0ZrJxLMBLIFeNNKffW,entrenamiento
203,7BRwh1bemr9rFMDeTbcy5S,entrenamiento
204,3rzRo91l4htQvMXhsiECAX,entrenamiento
205,0v1vufjir4OE4iRckLMoLd,entrenamiento
206,4vAnqYqm1DOo5IDVcxORX3,entrenamiento
207,2X5AFygz5SDYlXagyPw8kX,entrenamiento
208,13GvSZgg9LOs3M9uGbWsPE,entrenamiento
209,4cR4nao0hqqBtklQmGVqbe,entrenamiento
210,4x7AdVDV9IFWp8pg4LMz90,prueba
211,5eNYumDY5PCXtKKJ0SWg2r,entrenamiento
212,6dwkFmLUz6hx2CZG2EqLol,entrenamiento
213,7aohwSiTDju51QmC54AUba,entrenamiento
214,7g3ryXLtXExZ0OFCj17Ae1,entrenamiento
215,5MrgVJzR1du1gz8XWe4m28,entrenamiento
216,5auMzVHFr5Zfw6IbKarZ56,entrenamiento
217,63bmIgH9sS6sX5Sc7MetGq,entrenamiento
218,3ZjSJv88euP3CdvTg07dZL,entrenamiento
219,14BMBNRzv24eG6OKoIgPfP,entrenamiento
220,5pEmeoMUW38w1oU3kPelvR,prueba
221,2h3VsZVKQeT0yLNQtCIRjn,entrenamiento
222,1dcNEEtODRVZEevQ20Cgmy,entrenamiento
223,6huS9u0BDfeQHq0lObNLPl,entrenamiento
224,14NiShC5b46yQxBN1mu9VJ,prueba
225,3DyhwZyBFedvnt68fMi6vf,entrenamiento
226,6kRZfOZSuoi0Htg6gROKDz,entrenamiento
227,5e9DrLUUZraUE7mmniufjn,entrenamiento
228,2z3HKlpENvfz1Am2MNF2pL,entrenamiento
229,33JX2be3eKVhl5xk8YQhVc,prueba
230,29Ns3avs48iQhNQgrHMEkm,prueba
231,2XDxQ3VzovLzh60zgOaNEi,entrenamiento
232,0J4sK2VO75cRSVoj0FokQn,entrenamiento
233,7bpR5j22mNID1pXwgRcZP1,entrenamiento
234,1U1GtaJeYwGsPgqV9Me5bb,prueba
235,34p2uL1CvmaHn3uLfOKt8d,entrenamiento
236,2EKxmYmUdAVXlaHCnnW13o,prueba
237,1jkBuvWI9IGEz9thXiKOlP,entrenamiento
238,7K36drJq6lInkW6Kkojucp,entrenamiento
239,4PuUa8e5s7P3Zv1IdCGIsa,entrenamiento
240,72SPsHheqN6J3sI520jT9E,entrenamiento
241,52J3WARiRHMtXbFXUWrVgu,entrenamiento
242,03VNgdCL9t8aPyvwZecglI,prueba
243,3M6NL7PxIDZ3ArfPrBUTUP,entrenamiento
244,7jJH8F3PHlNvxfqEAAfFDl,entrenamiento
245,6JNEDSev5Tp5VQR04SEBfV,entrenamiento
246,1gRa1tyGV1GY60QgU5DkQH,entrenamiento
247,5DUAKXpyv3nL50PnAQbPS0,entrenamiento
248,6OCsvPU6P84wJ0erggCRv4,entrenamiento
249,7qJtNgmUyzy3R86vJwk9Wp,entrenamiento
250,6hy5eqMQ36KAChR1ZZ05zc,entrenamiento
251,4Gcx0DkgBVticyPDpezwg5,entrenamiento
252,0fUB9bwvKLRpOB18YZHz5N,prueba
253,0I0l2Oo5zjpCEphpDJL0Pm,entrenamiento
254,4v0RBzYNzTknP6d0zN2VQb,entrenamiento
255,1FQH1FxPwwIj9aKyPBDf9b,entrenamiento
256,4YgEwanzISFU4xa27saTux,entrenamiento
257,7pKMoXeiCv40wbrjII06VO,entrenamiento
258,5MYPzdIWgx3pMLRGlq2fVq,entrenamiento
259,2Qw1KFrJ1q6qHXxWGh51kC,entrenamiento
260,66V40iz2mphPbYvuJVj13i,entrenamiento
261,4Bo6FwC7Oe9zywSZc6q7hO,entrenamiento
262,6Xbi3gOwMal0Ds3ETvBBwe,entrenamiento
263,6QXolVfFVjUHPp5TVzsjIF,entrenamiento
264,71ehTADpxs85ULrZgSEKCy,entrenamiento
265,4zYkSXrfgJyrNkNv3mTiIZ,prueba
266,1nFJAKHt0jgzVogbNJT3Zz,entrenamiento
267,1RZkqIEM5aV000fKgz9J46,entrenamiento
268,0n3E6m57nDZJDyUHllaMDp,entrenamiento
269,2gBYjMXW65daBB1elr68JK,prueba
270,1FF6TogE9ELY71XnLPoEv6,prueba
271,6G8xunNOicxhPPq9sG2raG,entrenamiento
272,6LsHKNorX6fPBNcGxU1jQZ,entrenamiento
273,1uxm47Qn1JhUWZHQfcY6w1,entrenamiento
274,2nBrIzKacrNdIxs90FlsT1,prueba
275,5mdjfBsyzl78NQI4sI4IzR,entrenamiento
276,7mQmu0JSoEyYU763IJXhIA,entrenamiento
277,08feveJTNL1OMLSrdoHQ6Q,prueba
278,4ngv7whSPSAwD8ZP3zMHsd,entrenamiento
279,24UxG3p1Ghtc5ejJtGBoeL,prueba
280,4yRlTvPVfEyhXfp6GZurq9,entrenamiento
281,5xQTEPjGsLuvwnnvyK3fAA,prueba
282,3Mq1SOKwAPYgE0ZtPzvWZZ,entrenamiento
283,38ssTLOvoZyL4CLa4ImDG9,entrenamiento
284,0njuNwIyB3DoBHC0SFUkOr,entrenamiento
285,5sdliaZjk3rVGuT13UVhxn,entrenamiento
286,2Dz5WpEWA0vhnMmEPYiZ2y,entrenamiento
287,5w8Cu20Yt1ZNQuVdcafTYC,entrenamiento
288,1FHCU1rDAeaPsBW9byjJ0Q,entrenamiento
289,0x26yM2rrvtoHGRXXzppx3,prueba
290,0Kt5AHOpQAkEsHAuPeB0le,entrenamiento
291,07m8PuXxxv5J4qPEDq6ZkK,prueba
292,1YjMWOorkBaP4MdKkKtp4y,entrenamiento
293,0KF5nzdiqZlxVK68MPITst,entrenamiento
294,1pV4cJaYl9ovK0GcSjH1hy,prueba
295,2fSIF8CJhoc9CJhF9vJDXp,entrenamiento
296,6J0bdIZElZMymahgVWRE9B,entrenamiento
297,5sVyefkGgQeYCgnqr4KslQ,prueba
298,1MGIxsVtqK2npdPmI8Dj0D,prueba
299,4M4suTUnAYZocl09XEKBZN,entrenamiento
300,2C9ePPz58he8jmYEod9pvT,prueba
301,4j0xGuo8Z47wfBiVunT6VR,entrenamiento
302,0JzOJIS7ktLq5Ux6LtYJuW,entrenamiento
303,298xJ2nBaWWS0Je5rtlSxT,prueba
304,33SH8ZC36EzoRstHbaFE72,prueba
305,18PrtmAcNMgZNy1edWuXGb,entrenamiento
306,4CU3t2c3TIpmzX44P1VCFi,entrenamiento
307,0dnRlO7IDzbN9ixVld7hz6,entrenamiento
308,1XW1lKfocLOAUdp8rUQoNC,entrenamiento
309,1TZBg0IBHvqfSAlHvVd8eH,entrenamiento
310,5j5OayPyUCnJSK0RynvqgK,entrenamiento
311,4WtqjjSiGYHORMr6VX3td1,entrenamiento
312,0Pi3Ua6fJV1Yx5MGXhfybT,entrenamiento
313,0c99BUd87HQfzgUUQqRyds,entrenamiento
314,7JRJOLKHz88pR0YS4pVCao,entrenamiento
315,0xlyMQ56pZAoGuLCs7GH90,entrenamiento
316,5dH4xnErpUOIDrGySWGkfJ,prueba
317,2Sg5gtKvSiRf7TBjI0ObF2,entrenamiento
318,2AHZHeLTPuGILKyr4l8uTU,entrenamiento
319,3JKLrIrHpbHtDU1oeYtbYD,entrenamiento
320,2CsHDQ1WFLQBBpIEuLcL3z,entrenamiento
321,24Gm1mIhO28NmgT17S95JE,entrenamiento
322,6j9kSGlYLZdZ9sZkY9DjzY,prueba
323,2UJy2HHo4afrQbI5FizxLM,entrenamiento
324,7HSk4yGZxfjOkHyOvZrBQZ,prueba
325,2Jhx81CSHw8xWwBqRM2mZR,entrenamiento
326,5P6ZBMWS66FVo6deJaDdHy,entrenamiento
327,5SgFX13gtlQfsNUpoPshwD,entrenamiento
328,7vu53hQrIoH7UGeh6qcct1,entrenamiento
329,55RMhrPQYA6vLu5YMgXxFD,entrenamiento
330,2KsdoMZsL2ajnjjYUWm1ZT,entrenamiento
331,2fPb58e6f8KxejYDCaARwS,entrenamiento
332,4NxUuupOGPquDhy1yFIZK3,entrenamiento
333,0avtLG17MT8kDf9xc67Niv,entrenamiento
334,6jI7y83WjuyBne9b3IvdSs,entrenamiento
335,0ngtyvPUKR4YTtkVKvZP02,entrenamiento
336,5PoaNLRYLL7rywHSPUOZs8,entrenamiento
337,6DwgZO7AMYelPFwr8WPhpg,entrenamiento
338,5X3w2MfxgMTZkn2mTPQs0u,entrenamiento
339,5PCwedwyeLZQ6xAUIKbwos,entrenamiento
340,32kyGOJpEOTFKR9wvPSsxJ,entrenamiento
341,0ifc4mq2mVNefgQFmtXQpt,prueba
342,2gJ3ZOaiWr3jGHwevufOxr,prueba
343,37jsciEAFxwyjXx0kV6aO6,entrenamiento
344,22KbVMZekQbkrHGrubQTpQ,entrenamiento
345,4RiKD76gS8huCzwWqw0EGC,entrenamiento
346,3XFhSbm8EdZD6Cjrm1dNJQ,entrenamiento
347,3nImoHhXBOqYcdTN8gt9eE,prueba
348,0B3g35bVxJ42Y0W0I5WBIU,entrenamiento
349,1igSa6QILI1jyE970ZMYW1,entrenamiento
350,4AYITlwiumljGdv0NIGR4T,entrenamiento
351,3YvutLE6lwEyW4WMF5FIi6,entrenamiento
352,3geIJghtdmVc7GeJio1xlj,entrenamiento
353,1yycinn2WICj4UKGQ9xPjD,entrenamiento
354,5Z8O4RFAmjA13jrOYIgyXA,prueba
355,1ABd3bWsG4FCKePjXeVfJG,prueba
356,4I18rXWixQBWc8JhTqx6Xn,prueba
357,3IORLAm07yxo4T7B8cRET3,entrenamiento
358,4sAX65hbNtEC1lceCdGuMt,entrenamiento
359,7vg5fesQdq5I7Z7XGdyJd5,entrenamiento
360,6Xrq1dAFgZcSi5HuuHe27i,entrenamiento
361,2TRXV6DoQLjdRrBR6ED6NP,entrenamiento
362,6xXvAzowcCQmoKdDr1oIFJ,entrenamiento
363,5L4G3nwKkd4wykW4BV9sVe,entrenamiento
364,0QzY6rP7C8IWMnpEyuQmC6,prueba
365,3XdStlaHnq3JrmQDCRqEET,entrenamiento
366,4h3rI4uxGsbA4LsLt1nB2t,entrenamiento
367,2KhS0LVOw9ralhfbcIi7vL,entrenamiento
368,6fPblqm2OhtEKvaUEQzLzJ,entrenamiento
369,0wFSrH6x1iQOdUljUueAcd,entrenamiento
370,1wSZdWFZphxDh6iJhWlIUi,entrenamiento
371,5ZpSUdy5wL5Hvwsqz6JCAt,entrenamiento
372,3mDvi0k4LuCA7ViLf3Qb3O,entrenamiento
373,5D6xoqZwDoqRO5V9rNgxFO,entrenamiento
374,09t3kwndNebf3RV8DZ5pw3,entrenamiento
375,3yVSlc3y7YWZPAreTHjH9v,entrenamiento
376,5LHruF9uFyPxGpimaknrU8,entrenamiento
377,3SxMBVdL2gxhX5V5dXF9jy,entrenamiento
378,6XCPQygbj33s7OUxlbo6bX,entrenamiento
379,0IZJR2XrPdWqHdnpaPixw9,entrenamiento
380,3VIbZxc3oo1eAlb7tcRsG1,entrenamiento
381,3SBzDgdTwHOMSik82ZI6L2,entrenamiento
382,2hSag78vkaBXqpaDF3serw,entrenamiento
383,3wpZTp7HM8Dv25oExNgCC6,entrenamiento
384,63wsZUhUZLlh1OsyrZq7sz,entrenamiento
385,2FSkBDGsqZIxcsnKNgtMLx,entrenamiento
386,3e5UDAmMzMUM95PqjVHC4L,entrenamiento
387,2jcDDdBy1foaBC8X9owMrZ,prueba
388,7KC4B2R255iYIPVG8S7Eey,entrenamiento
389,7DUnyslSCb05yeSmGGTJ81,entrenamiento
390,2lXGLbSXrSACMa2oelt4TE,prueba
391,6uZroCk7E7L7RhY7NAvC3Y,entrenamiento
392,6ITdND5IQ7lHzjkyJZSt53,entrenamiento
393,71vcffc4Yfz0pt9AbaL386,entrenamiento
394,7wbSp6u3cGj5GTN0lNxZ4X,entrenamiento
395,0HL3y3bsKSARBSP0qaImwb,entrenamiento
396,1yZWcHtL0KMhKadWXG26SG,entrenamiento
397,4N1PJshrO7sHB468RoZQjL,entrenamiento
398,3NrUMv6TqphWgk2PdDdg4H,entrenamiento
399,42mkE3wbofBNickLHgdVlo,prueba
400,3Re0unscFRNOkwwEGtxhCO,prueba
401,4H7MpMZ4p3Cc06B11bcgL7,entrenamiento
402,7AKxbxzkxm2ERWrd1ggniO,prueba
403,6JAXWoK53LV3hYARf4TzzP,prueba
404,7zCuUs0JXXPIH7GA8tWwii,entrenamiento
405,5LuSu8fS8PGCH88EDPLYcy,entrenamiento
406,4nmjL1mUKOAfAbo9QG9tSE,entrenamiento
407,4A6GiKusHlmrtqCyKAyPg2,entrenamiento
408,6y4PDihMDJdFRjhunzpJ6s,entrenamiento
409,45SbQo5bq8f0hNdB70IyFC,entrenamiento
410,4l2fpkIEUWv7G9DNp9M2nr,prueba
411,1wflx5YklLYToaIbXkrZSq,entrenamiento
412,0RRZxVYjfY3jWT4XiYAW7k,entrenamiento
413,6f9qzNP6elRi8i2NgqGoE5,prueba
414,39dhIbeOy13KQlVlLM0m8G,entrenamiento
415,3m0jiOJfxIqGGsRKMOA2uQ,entrenamiento
416,6IiFTtc2ipIXW5HzwFzOjh,entrenamiento
417,2JI53ZVCxMucM68UpCtZ5C,entrenamiento
418,5NqGfELjcdvRIUuhgZJ34W,prueba
419,0Bv0qHGKNiwzDtHzXrjmIn,entrenamiento
420,7z2DKGAsPPdxOwTzMaVYD4,entrenamiento
421,2XW4AAjfBQTzp7Oe1tU702,prueba
422,7Afr3PKTtlFGHGiXYgnv6P,entrenamiento
423,5CijCh8uOTWZO9DQpYwAXw,entrenamiento
424,6xAjAocTRpKamQlCy50RRQ,entrenamiento
425,0voYwjeuMfvXlF76oesZKu,prueba
426,6xMm545wcSYbhNFB2Jr2EP,entrenamiento
427,7pq5vONxrAy8T773nhkiW3,entrenamiento
428,2dS2710jYUM8gE2V1KC3uG,entrenamiento
429,2jcdviEbZPIpwM10JBQNYc,entrenamiento
430,6wVxhM5GJiZCro0xPWox6g,entrenamiento
431,7oyFihJppZYPP7o0NfoHnZ,prueba
432,2a0WwSvmFdXPTdDMilPA1y,entrenamiento
433,0vxlqUrmgsiyAWOHaAfnSK,entrenamiento
434,78ylzQxu8Ht3gbFq5hI9Vo,entrenamiento
435,1BZnc6VaggPnrQyjem5Dpf,entrenamiento
436,2K3jLUSLeHrPMA3nKvP1jT,entrenamiento
437,674WNL7f5Xo8XxtipzB3ao,entrenamiento
438,73Nw51XTNstlk3Wu1K26cB,prueba
439,5OWl1kO0gRlPxmp1wFyIWZ,prueba
440,5QjuTblPokfD03fkfHUuVK,prueba
441,2oLaalXlOgiJ70CaI992BA,prueba
442,0rQ146AWbwiDC1DheKXJxm,entrenamiento
443,5ZUObJNpVt2l9GogUSfALc,entrenamiento
444,1jyddn36UN4tVsJGtaJfem,entrenamiento
445,73JI06Eznb1N22KHpo3HL7,entrenamiento
446,0YG5wOXVpvNUyPihvr1zsa,entrenamiento
447,0wKt65XM5Wit3QH7lZtESU,entrenamiento
448,6339iq4yAm87arKgnNc922,entrenamiento
449,6mFsYlDjG2Esy5hXhNy78t,entrenamiento
450,7c0YUDcJreOv1OoBGf1KdH,entrenamiento
451,3V0NxWbbUTa3BUAnchm11i,entrenamiento
452,3c8k1iPo45JM4fKvIfumwh,entrenamiento
453,5oDDFjWMz0KiMmRzWSFfQ6,entrenamiento
454,5TIXBnwtMYwgC9yc1QjFp7,prueba
455,4GiLKZ6Fd3d5UMJMGuzAA0,entrenamiento
456,6cYx8rBh13laBDAzvD7VrH,entrenamiento
457,1jUyxF7NmNXGlZQDVw40O8,entrenamiento
458,4G8wt3fUBpgBjI35TBF2eQ,entrenamiento
459,4eSOx2FzrVXpKmtssY59LB,entrenamiento
460,0YhsOegsemgmT7ZHdWheUy,prueba
461,1WSF2SjtfkV8LjTlF8uCZH,entrenamiento
