indice_origen,id_cancion,artistas,nombre_album,nombre_cancion,popularidad,duracion_ms,contenido_explicito,bailabilidad,energia,tonalidad,volumen_db,modo,presencia_habla,acusticidad,instrumentalidad,presencia_en_vivo,positividad,tempo_bpm,compas,genero_musical,motivo_artista_o_cancion_faltante,motivo_cero_en_audio,motivo_nulo_en_audio,motivo_duracion_invalida
59812,38Ogh3rsHba83kXx13gbKs,Leila Bela,Angra Manyu,V-4,0,13386,False,0.0,0.224,11,-22.196,1,0.0,0.97,0.0,0.907,0.0,0.0,0,iranian,False,True,False,False
64826,63kd4m3VFxcJjPVVtbVNAu,Louis Armstrong,"Hello, Dolly! (Remastered)","Hello, Dolly!",62,147000,False,0.0,0.405,0,-9.935,1,0.0,0.842,0.00114,0.198,0.0,0.0,0,jazz,False,True,False,False
65900,1kR4gIb7nGxHPI3D2ifs59,,,,0,0,False,0.501,0.583,7,-9.46,0,0.0605,0.69,0.00396,0.0747,0.734,138.391,4,k-pop,True,False,False,True
76716,7KHG8MHzxAv0YnLFBWY9Y1,Jean-Baptiste Lully;Mary Enid Haines;Sharla Nafziger;Aradia Ensemble;Kevin Mallon,Lully: Ballet Music for the Sun King,"Le bourgeois gentilhomme: Chaconne des Scaramouches, Frivelins et Arlequins",51,88160,False,0.0,0.0192,6,-28.821,1,0.0,0.936,0.0197,0.138,0.0,0.0,0,opera,False,True,False,False
76736,0q0r8JVp4dPZBbmBUsqsgO,Georges Bizet;Maria Callas;Nicolai Gedda;Orchestre de l'Opéra National de Paris;Georges Prêtre;Orchestre du Théâtre National de l'Opéra Paris;Paris Opera Orchestra,Bizet: Carmen,"Carmen (1997 - Remaster), Act I: Quels regardes! Quelle effronterie!",22,55693,False,0.0,0.172,3,-21.578,1,0.0,0.945,8.33e-05,0.85,0.0,0.0,0,opera,False,True,False,False
93111,1JihKsZjTyaqh0sPpOJqxW,Maya Kristalinskaya,Поёт Майя Кристалинская (Remastered),Три товарища - Remastered,26,122206,False,0.0,0.122,7,-20.512,0,0.0,0.987,0.324,0.824,0.0,0.0,0,romance,False,True,False,False
98779,2ObXcpK0NlkbEpjLXHZJn4,Daniel Radcliffe;Rose Hemingway;Christopher J. Hanke,How To Succeed In Business Without Really Trying,Act One Finale,21,95280,False,0.0,0.322,7,-8.901,1,0.0,0.757,0.0,0.284,0.0,0.0,0,show-tunes,False,True,False,False
101041,4TZh9HGsgaH3qzX40TPsF3,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),Wenn Baby nicht schläft,54,169104,False,0.0,0.28,10,-17.052,1,0.0,0.75,0.932,0.931,0.0,0.0,0,sleep,False,True,False,False
101043,4xu38KnbRHbRHRwdg4KFul,Fan Sounds,Box Fan Long Loop For Sleep,Box Fan Long Loop For Sleep,54,500166,False,0.0,2.03e-05,6,-25.556,1,0.0,0.145,0.213,0.114,0.0,0.0,0,sleep,False,True,False,False
101048,1ATNhuJASoNNIcGb1eoQGP,Weißes Rauschen HD,"Weißes Geräusch Für Tiefen Schlaf, Tinnitus Und Meditation",Weißes Rauschen: Tiefschlaf,56,94365,False,0.0,0.00601,5,-24.854,1,0.0,0.921,0.24,0.271,0.0,0.0,0,sleep,False,True,False,False
101057,5oeF42L73APoIognQDfqsS,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),Qualitätsschlaf,48,214401,False,0.0,0.618,2,-20.881,0,0.0,0.74,0.978,0.854,0.0,0.0,0,sleep,False,True,False,False
101058,3hDMlXKXTUfGhsJ5OgLjcd,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),Ich muss jetzt schlafen,49,179501,False,0.0,0.401,10,-17.403,1,0.0,0.818,0.966,0.852,0.0,0.0,0,sleep,False,True,False,False
101059,680gfmxE9oPj43uum5USyc,Sleep Baby Sleep;White Noise Babies;White Noise For Baby Sleep;Spa Relaxation;Spa Relaxation & Spa,Soothing Brown Noise Waves and Calming Ambient Combinations (Loopable and without Fade),Soothing Brown Noise Waves,49,93451,False,0.0,2.03e-05,1,-18.75,1,0.0,0.113,0.94,0.363,0.0,0.0,0,sleep,False,True,False,False
101060,1ToQuJpkEt7Hw90jOBKnYM,Water Sound Natural White Noise,White Noise Spa – Calming Noises,Noise for Restless Kids,52,61000,False,0.0,2.03e-05,10,-21.258,0,0.0,0.0,0.973,0.132,0.0,0.0,0,sleep,False,True,False,False
101061,3rm2WrETcJxFjOawcfiG3h,Sleep Baby Sleep;Meditation Spa;White Noise Therapy;Rain Spa;Rain Shower,White Noise Spa Collection - 50 Shades of Ambience (Loopable and without fade),Pouring Rain - Loopable with No Fade,49,93451,False,0.0,6.19e-05,9,-18.685,1,0.0,0.127,0.999,0.718,0.0,0.0,0,sleep,False,True,False,False
101065,3IVQzOYO8JG9Lj41pq98Pf,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),Neugeborene Schlafhilfe,50,199929,False,0.0,0.398,2,-16.889,0,0.0,0.795,0.979,0.931,0.0,0.0,0,sleep,False,True,False,False
101083,3guM77UfyggID9e6epTkBL,Weißes Rauschen HD,Weißer Lärm Baby Schlaf (Meeresrauschen),Natur eigene Schlafmaschine,48,208105,False,0.0,0.297,7,-20.159,0,0.0,0.761,0.98,0.871,0.0,0.0,0,sleep,False,True,False,False
101098,2wY3IEAH3ARw82py4NCXFo,Natural White Noise Relaxation,Baby Sleep White Noise: Ultimate Album to Help Babies Sleep Through the Night,"Water Fall White Noise: Environmental Sounds for Rem Sleep, Dreaming, Masking Tinnitus",49,137693,False,0.0,0.493,10,-16.919,0,0.0,0.161,0.998,0.554,0.0,0.0,0,sleep,False,True,False,False
101100,5pGBDKBaR63vuJ4g8ialcU,Water Sound Natural White Noise,White Noise Spa – Calming Noises,Deep Sleep Recovery Noise,76,63000,False,0.0,0.032,1,-30.704,1,0.0,0.916,0.202,0.103,0.0,0.0,0,sleep,False,True,False,False
101228,3hs7Lh777aKJugwl0Zq1QF,Rain Sounds,Soft Rain Sleep,Sleep Rain,54,66860,False,0.0,0.0146,1,-19.407,1,0.0,2.65e-06,0.831,0.31,0.0,0.0,0,sleep,False,True,False,False
101230,45njeRvYMyB8vT6iIVKEdz,Deep Sleep Brown Noise;Deep Sleep White Noise;Deep Sleep Background Noise;Brown Noise Dreams;Pink Noise,"Brown Noise Dreams (Pure Brown Noise and Ambient Combinations, including Clothes Dryers, Waterfalls, Crickets)",Pure Brown Noise,46,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101239,4lb7K2xZIydBTL4Sd3T0g3,Deep Sleep Brown Noise;Deep Sleep White Noise;Deep Sleep Background Noise;Brown Noise Dreams;Pink Noise,"Brown Noise Dreams (Pure Brown Noise and Ambient Combinations, including Clothes Dryers, Waterfalls, Crickets)",Pure Brown Noise,44,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101240,4KjXDCg53Vd5AaGWL8Qnxt,White Noise Sleep Sounds;Sleep Sound Library,Loopable White Noise Sleep Sounds,White Noise - Loopable With No Fade,47,68917,False,0.0,2.03e-05,7,-40.112,1,0.0,0.994,0.0727,0.107,0.0,0.0,0,sleep,False,True,False,False
101265,1xZrDvsngI3akwkw8Wt4md,Deep Sleep;Relaxation And Meditation;Relax;Ontspanning Sound;Relajacion Del Mar,White Noise Spa Collection - 50 Shades of Ambience (Loopable and without fade),Pure Brown Noise - Loopable with No Fade,43,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101268,05ZPVWAZqUTPa4oJA01d45,"Deep Sleep;Sleep Baby Sleep;Lullabies for Deep Meditation;Relax Meditate Sleep;Relaxation;Soothing White Noise for Infant Sleeping and Massage, Crying & Colic Relief","Exhaustive Collection of Soothing Brown Noise, Brown Waves and other Ambiences (Loopable Audios for Ambiance, Meditation, Insomnia, and Restless Children)",Pure Brown Noise - Loopable with no fade,44,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101269,2MetzfhUMANQ07Fu0liJzj,Loopable;Verter la lluvia,Rain Sounds and other Ambiences (Loopable and without Fade),Pouring Rain - Loopable with No Fade,44,93451,False,0.0,6.19e-05,9,-18.685,1,0.0,0.127,0.999,0.718,0.0,0.0,0,sleep,False,True,False,False
101270,40zj6W7wVqeNkfXjSmFQqx,Baby Sweet Dream,Baby White Noise Series - Pure White Noise,Baby White Noise Series - Pure White Noise,43,300000,False,0.0,2.01e-05,6,-33.764,0,0.0,0.69,0.42,0.863,0.0,0.0,0,sleep,False,True,False,False
101275,2qOF8MklZW5dw1zzwO7Izx,Granular,Brown Noise For Sleep,Brown Noise For Sleep 3,44,76874,False,0.0,0.836,1,-24.271,0,0.0,0.996,0.997,0.109,0.0,0.0,0,sleep,False,True,False,False
101286,6qRzFfo5Cinvew7MNW7c78,White Noise Meditation,Background Noise For Baby Sleep,Fan - Loopable with No Fade,44,66262,False,0.0,2.03e-05,1,-35.106,1,0.0,0.956,0.99,0.173,0.0,0.0,0,sleep,False,True,False,False
101287,3d5uEp5qFzZVxlfNAzVIvR,Rain Sounds,Baby Sleep Rain,Relaxing Rain,44,75649,False,0.0,0.000574,2,-19.924,1,0.0,3.51e-06,0.814,0.393,0.0,0.0,0,sleep,False,True,False,False
101297,5LCe1aLRmkDknpeNpiva68,Weißes Rauschen HD,"Weißes Geräusch Für Tiefen Schlaf, Tinnitus Und Meditation",Weißes Rauschen: Schlafmittel,43,94365,False,0.0,0.0011,10,-28.22,1,0.0,0.122,0.114,0.123,0.0,0.0,0,sleep,False,True,False,False
101317,1CpLV85mVNUsE4kVH8oOty,Nature Sounds,Loopable Rain Sounds,Rain Sounds for Deep Sleep,42,167500,False,0.0,0.612,1,-13.491,0,0.0,0.139,0.975,0.461,0.0,0.0,0,sleep,False,True,False,False
101326,2PNxDVjqfTgm3tlibZ2c38,Loopable;Verter la lluvia,Rain Sounds and other Ambiences (Loopable and without Fade),Brown Noise Waves and the Pouring Rain,42,93451,False,0.0,4.28e-05,2,-18.683,1,0.0,0.194,0.999,0.718,0.0,0.0,0,sleep,False,True,False,False
101329,6P2lrbOqtKtAdJ30OXKiK3,Sleep Baby Sleep;White Noise Babies;White Noise For Baby Sleep;Spa Relaxation;Spa Relaxation & Spa,White Noise Spa Collection - 50 Shades of Ambience (Loopable and without fade),Soothing Brown Noise Waves,42,93451,False,0.0,2.03e-05,1,-18.75,1,0.0,0.113,0.94,0.363,0.0,0.0,0,sleep,False,True,False,False
101330,0IkUTWDCxVIadHAl997Ueq,Meditation Spa;Rain Sounds;Best Relaxing SPA Music;Rain Sounds & Nature Sounds;Rainfall,Appliances and other Household Ambiences (Loopable background noises),Pouring Rain - Loopable with no fade,42,93451,False,0.0,6.19e-05,9,-18.685,1,0.0,0.127,0.999,0.718,0.0,0.0,0,sleep,False,True,False,False
101335,3cJbNaXdqRuuEoksg0j7LC,Baby Sweet Dream,Baby White Noise Series - White Noise Collection,Pure White Noise,40,300000,False,0.0,2.01e-05,6,-33.764,0,0.0,0.69,0.42,0.863,0.0,0.0,0,sleep,False,True,False,False
101340,2RkiA3TTXvrW1QsEyE6LSu,Granular,Brown Noise For Sleep,Brown Noise For Sleep 4,41,90000,False,0.0,0.375,11,-26.531,1,0.0,0.695,0.423,0.11,0.0,0.0,0,sleep,False,True,False,False
101341,0k1SfhHiZblCF11hgTyj0G,Granular,Pink Noise For Sleep,Pink Noise For Sleep 14,42,96448,False,0.0,0.11,10,-29.296,0,0.0,0.932,0.298,0.108,0.0,0.0,0,sleep,False,True,False,False
101342,0pVOHvFXPjfx94Io7n4SB9,Granular,Brown Noise For Sleep,Brown Noise For Sleep 2,42,81828,False,0.0,0.00188,2,-24.58,0,0.0,0.933,0.521,0.11,0.0,0.0,0,sleep,False,True,False,False
101361,5luOyzGFVbgwOXpHiFxXUm,Silent Knights,White Noise Hoover,Sleeping Hoover,39,256000,False,0.0,0.000734,5,-8.171,0,0.0,0.166,0.951,0.932,0.0,0.0,0,sleep,False,True,False,False
101369,5biHe2MTbGvVErVHvFMU9U,Loopable;Verter la lluvia,Loopable Ambience of Brown Noise and Brown Waves,Brown Noise Waves and the Pouring Rain,39,93451,False,0.0,4.28e-05,2,-18.683,1,0.0,0.194,0.999,0.718,0.0,0.0,0,sleep,False,True,False,False
101370,1Nq9uiBzxv6NPnIoSOCQaM,"Spa;Spa, Relaxation and Dreams;Relax Meditate Sleep;Loopable;Lullaby Land",White Noise Spa Collection - 50 Shades of Ambience (Loopable and without fade),Clean White Noise,39,72651,False,0.0,2.03e-05,9,-8.327,1,0.0,0.112,0.331,0.663,0.0,0.0,0,sleep,False,True,False,False
101374,04TUI0ut3JfAYpubKO4AHj,Water Sound Natural White Noise,White Noise Spa – Calming Noises,Fine Noise for Children,40,63000,False,0.0,0.032,1,-30.704,1,0.0,0.916,0.202,0.103,0.0,0.0,0,sleep,False,True,False,False
101375,1tJf9tdBDvK130VCj1VAmt,Sound Sleeping,Sleep (Rain Sounds Compilation),Paradise Rain,39,268471,False,0.0,0.0474,2,-15.677,0,0.0,0.117,0.989,0.79,0.0,0.0,0,sleep,False,True,False,False
101376,2bRKxuH1o7pTmb1y4GfdEc,White Noise Baby Sleep;White Noise for Babies,Best White Noise for Baby Sleep - Loopable with No Fade,Clean White Noise - Loopable with no fade,85,90228,False,0.0,0.00342,8,-28.46,1,0.0,0.791,1.0,0.111,0.0,0.0,0,sleep,False,True,False,False
101377,6FF4ClqfWoA36QFLaTAkLj,"Deep Sleep;Sleep Baby Sleep;Lullabies for Deep Meditation;Relax Meditate Sleep;Relaxation;Soothing White Noise for Infant Sleeping and Massage, Crying & Colic Relief","Pure Brown Noise and Ambient Combinations, including Clothes Dryers, Waterfalls, Crickets and more (Loopable Audio for Insomnia, Meditation, and Restless Children)",Pure Brown Noise - Loopable with no fade,39,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101378,3NCQ2kx9od0WsBRBY1EGDR,Sleep Baby Sleep;Ocean Sounds;Ocean Waves For Sleep;Fresh Water Sounds;Relajación,"Soothing Brown Noise, Brown Waves and other Ambeint Sounds for Rest and Ambiance (Loopable and without Fade)",Beach Waves and Soothing Brown Noise,38,93451,False,0.0,0.000252,9,-17.746,0,0.0,0.00948,0.877,0.806,0.0,0.0,0,sleep,False,True,False,False
101381,3z36mkQEM5miCcDPnyj6x3,Vacuum Cleaner White Noise;White Noise For Baby Sleep;White! Noise;White Noise for Absolute Sleep;White Noise for Babies,"Vacuums for Rest and Relaxation (Loopable Audio for Insomnia, Meditation, and Restless Children)",Deeper Sounding Vacuum Cleaner 2 - Stationary,39,78739,False,0.0,5.9e-05,3,-7.296,1,0.0,0.996,0.969,0.346,0.0,0.0,0,sleep,False,True,False,False
101384,1C0h4SvAveezqMSeAo86XA,White Noise Baby Sleep;White Noise for Babies;White Noise For Baby Sleep;Natural Sounds;Nature & Sounds Backgrounds,"Rain Drop Medley of Roof, Thunder, Forest, Car, and More (Loopable Audio for Insomnia, Meditation, and Restless Children)",The Early Morning Rain,60,87873,False,0.0,0.955,0,-20.356,1,0.0,0.139,0.997,0.425,0.0,0.0,0,sleep,False,True,False,False
101392,3PYZ33xVLzeavp3DPCw6YX,Granular,Vision,White Noise - BP 228 hz,40,158709,False,0.0,2.02e-05,11,-28.445,0,0.0,0.236,0.307,0.958,0.0,0.0,0,sleep,False,True,False,False
101394,2LwKRavO0P1ZM9bjq192mi,Granular,Pink Noise For Sleep,Pink Noise For Sleep 6,39,96448,False,0.0,0.000553,9,-27.035,1,0.0,0.914,0.996,0.109,0.0,0.0,0,sleep,False,True,False,False
101396,5O9wvjgMiXWGzZg0b30PuZ,White Noise Baby Sleep;White Noise for Babies;White Noise For Baby Sleep;Natural Sounds;Nature & Sounds Backgrounds,"Gentle Waves, Angry Thunderstorms, Gurgling Rapids and Soothing Waterfalls (Loopable Soundscapes for Insomnia, Meditation, and Restless Children)",The Early Morning Rain,39,87873,False,0.0,0.955,0,-20.356,1,0.0,0.139,0.997,0.425,0.0,0.0,0,sleep,False,True,False,False
101397,6BB2d2tQcyBfkxOmayHYXM,White Noise Babies;White Noise For Baby Sleep,Loopable White Noise,Clean White Noise - Loopable With No Fade - White Noise For Baby Sleep Remix,39,67682,False,0.0,2.03e-05,10,-43.046,1,0.0,0.974,0.00105,0.101,0.0,0.0,0,sleep,False,True,False,False
101398,2jhzrWv6ut9eieePWaYRC8,Rain Sounds,Soft Rain Sleep,Spa Rain,39,97219,False,0.0,0.00743,8,-19.901,1,0.0,1.46e-06,0.807,0.414,0.0,0.0,0,sleep,False,True,False,False
101412,3C32S8W8BBBKfHg3qyNX7E,White Noise Therapy,Pink Noise,Smooth Sailing,38,360000,False,0.0,2.03e-05,2,-16.555,1,0.0,0.951,0.873,0.113,0.0,0.0,0,sleep,False,True,False,False
101415,2gsRZ8eccuUBE4slJuSo5o,Rain for Deep Sleep,Rainforest Sleep,Rain Sleep: Deep Forest Rain,38,90874,False,0.0,0.148,8,-25.758,1,0.0,0.00621,0.0798,0.353,0.0,0.0,0,sleep,False,True,False,False
101416,28Wnwp5FDBU0vzlU2BbKR0,Pink Noise,Pink Noise for Sleeping,Loopable Pink Noise Flowing Waters,57,216000,False,0.0,0.00066,8,-25.141,1,0.0,0.331,0.289,0.111,0.0,0.0,0,sleep,False,True,False,False
101417,0XvG65b2KbCUT4NDvjTAXm,Rain for Deep Sleep;Yoga;The Rain Library,11 Relaxing Rainfall Sounds to Loop and Beat Stress,Continuous Rain,38,162495,False,0.0,0.998,11,-25.885,0,0.0,0.132,0.942,0.891,0.0,0.0,0,sleep,False,True,False,False
101437,6oXRqxWfdlRcHq9SpV4CmN,Deep Sleep Hair Dryers;Hair Dryers for Background Noise;Hair Dryer Collection,Hair Dryer Collection for Background Noise,Hair Dryer on Low - Stationary with Slight Swell,38,80310,False,0.0,0.431,0,-9.414,1,0.0,0.163,0.995,0.921,0.0,0.0,0,sleep,False,True,False,False
101440,3OTL612aTGvvGbzMuEcdbo,Deep Sleep Hair Dryers;Hair Dryer Collection;Hair Dryer Sounds,Hair Dryers,Hair Dryer Sound 20 - Loopable With No Fade,37,84000,False,0.0,3.05e-05,3,-22.367,1,0.0,0.988,0.991,0.443,0.0,0.0,0,sleep,False,True,False,False
101443,2QNQCdk29G9JCPTB0uOvsg,White Noise Babies,Loopable White Noise For Baby Sleep,Clean White Noise - Loopable Without Fade,38,67682,False,0.0,2.03e-05,10,-43.046,1,0.0,0.974,0.00105,0.101,0.0,0.0,0,sleep,False,True,False,False
101447,3FCjw9jRcPqw8A9k2ZkJ5p,White Noise Sleep Sounds;Sleep Sound Library,Loopable White Noise Sleep Sounds,Clean White Noise - Loopable With No Fade,38,67682,False,0.0,2.03e-05,10,-43.046,1,0.0,0.974,0.00105,0.101,0.0,0.0,0,sleep,False,True,False,False
101448,6LYuiCjFumPNhXReNlTwPt,Weißes Rauschen HD,"Weißes Geräusch Für Tiefen Schlaf, Tinnitus Und Meditation",Weißes Rauschen: Rem-Schlaf,37,92879,False,0.0,0.000164,10,-23.108,1,0.0,0.144,0.535,0.143,0.0,0.0,0,sleep,False,True,False,False
101479,2yuPnt1UgSU3FlFuyCnNJI,Fan Sounds,Gentle Box Fan Breeze For Sleep,Gentle Box Fan Breeze For Sleep,37,125884,False,0.0,0.000271,1,-40.795,1,0.0,0.731,0.864,0.389,0.0,0.0,0,sleep,False,True,False,False
101483,0MgnRvmrRE0c9kqUcDRySj,White Noise Therapy;Rain Sounds;Natural White Noise for Babies;Nature and Rain;Natural Sounds,"Rain Drop Medley of Roof, Thunder, Forest, Car, and More (Loopable Audio for Insomnia, Meditation and Restless Children)",Pure Brown Noise with Pouring Rain,37,61020,False,0.0,2.03e-05,2,-14.51,1,0.0,0.0,0.0,0.838,0.0,0.0,0,sleep,False,True,False,False
101490,3D8hmLjE4XnuDaHwEs1qdt,Deep Sleep Hair Dryers;Hair Dryers for Background Noise;Hair Dryer Collection,Hair Dryer Collection for Background Noise,Hair Salon,36,74700,False,0.0,2.03e-05,5,-8.018,1,0.0,0.99,0.999,0.989,0.0,0.0,0,sleep,False,True,False,False
101492,3Myq90aABjKvdh2dKhJMiv,Deep Sleep Hair Dryers;Hair Dryers for Background Noise;Hair Dryer Collection,Hair Dryer Collection for Background Noise,Hair Dryer on High - Stationary,37,88305,False,0.0,0.000594,4,-11.661,1,0.0,0.236,0.999,0.961,0.0,0.0,0,sleep,False,True,False,False
101513,3jpY2gUd3DOnDr4WPuMRHx,Deep Sleep;Relaxation And Meditation;Relax;Ontspanning Sound;Relajacion Del Mar,White Noise Collection,Pure Brown Noise - Loopable with No Fade,36,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101515,7Fta9aJyI2O8lZ7OZ4qwmS,Silent Knights,White Noise Hoover,Calm Hoover Noise,36,128000,False,0.0,0.00048,6,-9.423,1,0.0,0.124,0.992,0.909,0.0,0.0,0,sleep,False,True,False,False
101517,5m00VnXlz8yRKmCXVgJCEa,Electric Dreams,Electric Fan (Sound Masking Fan),Electric Fan (Sound Masking Fan),36,3600014,False,0.0,0.000512,11,-35.129,1,0.0,0.947,0.384,0.112,0.0,0.0,0,sleep,False,True,False,False
101522,33wp91bmIk1XYn7aKxMone,"Spa;Spa, Relaxation and Dreams;Relax Meditate Sleep;Loopable;Lullaby Land","White Noise Spa Collection - 50 Shades of Ambience (Loopable Audio for Insomnia, Meditation and Restless Children)",Clean White Noise,35,72651,False,0.0,2.03e-05,9,-8.327,1,0.0,0.112,0.331,0.663,0.0,0.0,0,sleep,False,True,False,False
101533,5ytXTFuW4KjkHw5siVJeA5,Deep Sleep Hair Dryers;Hair Dryers for Background Noise;Hair Dryer Collection,Hair Dryer Collection for Background Noise,Plastic Hair Dryer - Stationary,36,77037,False,0.0,0.657,3,-8.158,1,0.0,0.974,0.999,0.983,0.0,0.0,0,sleep,False,True,False,False
101534,423KoEUpycHLNi4vesOPpT,Deep Sleep Systems;Deep Sleep;Organic Sound;Water Sound Natural White Noise;Fresh Water Sounds For Inner Peace,"Water Spa Meditations (click Shuffle, Repeat, Cross Fade, and Gapless for continuous unique soundscape)",Rushing Cold Icelandic Waterfall,36,83856,False,0.0,0.0403,1,-21.209,1,0.0,0.16,0.998,0.93,0.0,0.0,0,sleep,False,True,False,False
101535,0bDFsdF1BdtWzjqE2Vfxvl,White Noise Meditation,Background Noise For Baby Sleep,Clean White Noise - Loopable with No Fade,36,73442,False,0.0,2.03e-05,10,-34.919,1,0.0,0.889,0.403,0.153,0.0,0.0,0,sleep,False,True,False,False
101536,2mRc9bJZTUoMjWzbGwGBGy,Granular,Pink Noise For Sleep,Pink Noise For Sleep 1,37,94205,False,0.0,0.0116,2,-22.048,1,0.0,0.927,0.483,0.121,0.0,0.0,0,sleep,False,True,False,False
101538,0jZmx4t0Fg4SJxJj0jnAdU,White Noise Sleep Sounds,Soothing White Noise,White Noise - Loopable With No Fade,37,74217,False,0.0,0.00332,10,-49.307,0,0.0,0.91,0.849,0.101,0.0,0.0,0,sleep,False,True,False,False
101540,4YukH0BeXhJmcCmz2BBRke,Baby Sleep White Noise,Relaxing Loopable White Noise,Box Fan - Loopable With No Fade,36,78600,False,0.0,0.000257,5,-42.995,0,0.0,0.977,0.949,0.0995,0.0,0.0,0,sleep,False,True,False,False
101563,3pcxWBIDqlJBmQmlzWjY9n,White Noise Relaxation;Outside Broadcast Recordings;White Noise For Baby Sleep;White Noise Research;Relajacion Del Mar;El Ruidio Blanco,"Pink, White, Blue and Brown Noises",Pure Brown Noise,35,71397,False,0.0,2.01e-05,10,-17.502,0,0.0,0.0,0.124,0.688,0.0,0.0,0,sleep,False,True,False,False
101569,71JJl3lf8EqGs98hpd9k6B,Pink Noise,The Best Pink Noise,Pink Noise Relaxation,35,300001,False,0.0,6.03e-05,10,-12.822,0,0.0,0.127,0.985,0.237,0.0,0.0,0,sleep,False,True,False,False
101573,7JiNqs52r97rOOjad76JhD,"Lightning, Thunder and Rain Storm;Thunderstorms;Spa Music;Thunder Storm;Thunderstorm Sleep;Sounds Of Nature : Thunderstorm, Rain","Rain Drop Medley of Roof, Thunder, Forest, Car, and More (Loopable Audio for Insomnia, Meditation and Restless Children)",Heavier Rain Fall with Thunder,36,77121,False,0.0,0.406,9,-18.691,1,0.0,0.0,0.757,0.357,0.0,0.0,0,sleep,False,True,False,False
